Date,BDI,VLSFO,BDI_lag_7d,BDI_lag_14d,BDI_lag_30d,BDI_avg_7d_final,BDI_avg_30d_final,BDI_volatility_7d_final,BDI_volatility_30d_final,BDI_relative_volatility_final,BDI_momentum_final,Fuel_momentum_final,BDI_change_7d_pct,BDI_change_14d_pct,BDI_change_30d_pct,BDI_vs_7d_avg_pct,BDI_vs_30d_avg_pct,Fuel_change_7d_pct,BDI_trend_strength,Fuel_lag_1,Fuel_avg_7d_final,Fuel_avg_30d_final,month,quarter,day_of_week,year
2022-01-02,1440,,,,,1440.0,1440.0,,,,0.0,,,,,0.0,0.0,,,,,,1,1,6,2022
2022-01-03,2069,,,,,1754.5,1754.5,444.7701653663384,444.7701653663384,0.2535025165952342,314.5,,,,,17.92533485323454,17.92533485323454,,,,,,1,1,0,2022
2022-01-04,2357,,,,,1955.3333333333333,1955.3333333333333,468.9481136899192,468.9481136899192,0.23983026612167704,401.66666666666674,,,,,20.54210705762019,20.54210705762019,,,,,,1,1,1,2022
2022-01-06,2633,,,,,2124.75,2124.75,511.2888127076516,511.2888127076516,0.24063481007537432,508.25,,,,,23.92046123073303,23.92046123073303,,,,,,1,1,3,2022
2022-01-07,2214,,,,,2142.6,2142.6,444.58441268222623,444.58441268222623,0.20749762563344826,71.40000000000009,,,,,3.3323998879865626,3.3323998879865626,,,,,,1,1,4,2022
2022-01-08,1872,,,,,2097.5,2097.5,412.7084927645662,412.7084927645662,0.196762094285848,-225.5,,,,,-10.750893921334923,-10.750893921334923,,,,,,1,1,5,2022
2022-01-09,1002,,1440.0,,,2024.5,1941.0,563.4681002505821,559.8088959636136,0.278324574092656,-1022.5,,-30.416666666666664,,,-50.506297851321314,-48.37712519319938,,,,,,1,1,6,2022
2022-01-11,1377,,2357.0,,,1819.6,1870.5,648.8992988129976,555.3184414627083,0.3566164535134082,-442.5999999999999,,-41.5782774713619,,,-24.32402725873818,-26.383319967923015,,,,,,1,1,1,2022
2022-01-12,1338,,2357.0,,,1739.3333333333333,1811.3333333333333,612.7908833090344,548.9421645310186,0.3523136546429864,-401.33333333333326,,-43.23292320746712,,,-23.07397470295132,-26.131762973868234,,,,,,1,1,2,2022
2022-01-13,1873,,2633.0,,,1612.6666666666667,1817.5,447.33060108455203,517.9148900479048,0.2773856559019545,260.33333333333326,,-28.864413216862893,,,16.143034311699044,3.0536451169188448,,,,,,1,1,3,2022
2022-01-14,1764,,2214.0,,,1537.6666666666667,1812.6363636363637,354.4215945264433,491.60192691389494,0.23049312455654233,226.33333333333326,,-20.32520325203252,,,14.719271623672226,-2.6831837103164706,,,,,,1,1,4,2022
2022-01-17,1731,,1002.0,2069.0,,1616.6,1805.8333333333333,242.683538790747,469.3161046252366,0.1501197196528189,114.40000000000009,,72.75449101796407,-16.336394393426776,,7.0765804775454715,-4.143977849561602,,28.20904831226865,,,,1,1,0,2022
2022-01-18,1644,,1377.0,2357.0,,1670.0,1793.3846153846155,202.89529319331203,451.57216818236606,0.12149418754090541,-26.0,,19.389978213507625,-30.2503182011031,,-1.5568862275449102,-8.329758943124308,,-5.430169993797737,,,,1,1,1,2022
2022-01-19,1570,,1338.0,2357.0,,1716.4,1777.4285714285713,115.84170233555835,437.9449762216735,0.0674910873546716,-146.4000000000001,,17.339312406576983,-33.38990241832838,,-8.529480307620606,-11.670149493650534,,-8.0252950058757,,,,1,1,2,2022
2022-01-20,1474,,1873.0,2633.0,,1636.6,1757.2,118.39679049704023,429.22491606549187,0.07234314462730064,-162.5999999999999,,-21.30272290443139,-44.01823015571591,,-9.935231577661,-16.116549055315275,,-32.66047653007365,,,,1,1,3,2022
